time,hour,DA_price
2025-06-30 22:00:00+00:00,22,111.28
2025-06-30 23:00:00+00:00,23,95.39
2025-07-01 00:00:00+00:00,0,89.1
2025-07-01 01:00:00+00:00,1,88.06
2025-07-01 02:00:00+00:00,2,90.01
2025-07-01 03:00:00+00:00,3,96.62
2025-07-01 04:00:00+00:00,4,114.97
2025-07-01 05:00:00+00:00,5,120.1
2025-07-01 06:00:00+00:00,6,114.28
2025-07-01 07:00:00+00:00,7,91.7
2025-07-01 08:00:00+00:00,8,90.11
2025-07-01 09:00:00+00:00,9,73.79
2025-07-01 10:00:00+00:00,10,40.3
2025-07-01 11:00:00+00:00,11,42.47
2025-07-01 12:00:00+00:00,12,47.54
2025-07-01 13:00:00+00:00,13,78.15
2025-07-01 14:00:00+00:00,14,90.8
2025-07-01 15:00:00+00:00,15,102.25
2025-07-01 16:00:00+00:00,16,152.44
2025-07-01 17:00:00+00:00,17,320.0
2025-07-01 18:00:00+00:00,18,517.57
2025-07-01 19:00:00+00:00,19,470.16
2025-07-01 20:00:00+00:00,20,278.18
2025-07-01 21:00:00+00:00,21,161.35
2025-07-01 22:00:00+00:00,22,119.29
2025-07-01 23:00:00+00:00,23,102.7
2025-07-02 00:00:00+00:00,0,92.54
2025-07-02 01:00:00+00:00,1,92.08
2025-07-02 02:00:00+00:00,2,95.77
2025-07-02 03:00:00+00:00,3,104.86
2025-07-02 04:00:00+00:00,4,123.69
2025-07-02 05:00:00+00:00,5,112.0
2025-07-02 06:00:00+00:00,6,104.52
2025-07-02 07:00:00+00:00,7,92.49
2025-07-02 08:00:00+00:00,8,81.06
2025-07-02 09:00:00+00:00,9,72.78
2025-07-02 10:00:00+00:00,10,25.0
2025-07-02 11:00:00+00:00,11,32.59
2025-07-02 12:00:00+00:00,12,46.58
2025-07-02 13:00:00+00:00,13,71.51
2025-07-02 14:00:00+00:00,14,79.61
2025-07-02 15:00:00+00:00,15,91.14
2025-07-02 16:00:00+00:00,16,131.9
2025-07-02 17:00:00+00:00,17,231.19
2025-07-02 18:00:00+00:00,18,316.12
2025-07-02 19:00:00+00:00,19,213.59
2025-07-02 20:00:00+00:00,20,140.8
2025-07-02 21:00:00+00:00,21,108.59
2025-07-02 22:00:00+00:00,22,83.92
2025-07-02 23:00:00+00:00,23,80.91
2025-07-03 00:00:00+00:00,0,79.0
2025-07-03 01:00:00+00:00,1,78.93
2025-07-03 02:00:00+00:00,2,80.88
2025-07-03 03:00:00+00:00,3,86.45
2025-07-03 04:00:00+00:00,4,106.96
2025-07-03 05:00:00+00:00,5,112.0
2025-07-03 06:00:00+00:00,6,104.9
2025-07-03 07:00:00+00:00,7,90.45
2025-07-03 08:00:00+00:00,8,75.06
2025-07-03 09:00:00+00:00,9,57.35
2025-07-03 10:00:00+00:00,10,42.16
2025-07-03 11:00:00+00:00,11,34.12
2025-07-03 12:00:00+00:00,12,7.21
2025-07-03 13:00:00+00:00,13,16.38
2025-07-03 14:00:00+00:00,14,55.68
2025-07-03 15:00:00+00:00,15,80.99
2025-07-03 16:00:00+00:00,16,95.74
2025-07-03 17:00:00+00:00,17,108.71
2025-07-03 18:00:00+00:00,18,154.16
2025-07-03 19:00:00+00:00,19,179.22
2025-07-03 20:00:00+00:00,20,146.43
2025-07-03 21:00:00+00:00,21,130.0
2025-07-03 22:00:00+00:00,22,110.0
2025-07-03 23:00:00+00:00,23,103.46
2025-07-04 00:00:00+00:00,0,99.98
2025-07-04 01:00:00+00:00,1,96.38
2025-07-04 02:00:00+00:00,2,99.92
2025-07-04 03:00:00+00:00,3,104.07
2025-07-04 04:00:00+00:00,4,107.22
2025-07-04 05:00:00+00:00,5,111.29
2025-07-04 06:00:00+00:00,6,100.0
2025-07-04 07:00:00+00:00,7,91.15
2025-07-04 08:00:00+00:00,8,70.01
2025-07-04 09:00:00+00:00,9,2.0
2025-07-04 10:00:00+00:00,10,-0.05
2025-07-04 11:00:00+00:00,11,-1.56
2025-07-04 12:00:00+00:00,12,-1.37
2025-07-04 13:00:00+00:00,13,-0.61
2025-07-04 14:00:00+00:00,14,2.33
2025-07-04 15:00:00+00:00,15,61.43
2025-07-04 16:00:00+00:00,16,89.07
2025-07-04 17:00:00+00:00,17,97.51
2025-07-04 18:00:00+00:00,18,127.67
2025-07-04 19:00:00+00:00,19,145.02
2025-07-04 20:00:00+00:00,20,122.96
2025-07-04 21:00:00+00:00,21,103.0
2025-07-04 22:00:00+00:00,22,95.38
