time,Solar_production_MW,percentage
2023-03-01 00:00:00+0100,0,0.0
2023-03-01 01:00:00+0100,0,0.0
2023-03-01 02:00:00+0100,0,0.0
2023-03-01 03:00:00+0100,0,0.0
2023-03-01 04:00:00+0100,0,0.0
2023-03-01 05:00:00+0100,0,0.0
2023-03-01 06:00:00+0100,0,0.0
2023-03-01 07:00:00+0100,50,0.3
2023-03-01 08:00:00+0100,1892,11.12
2023-03-01 09:00:00+0100,5334,31.35
2023-03-01 10:00:00+0100,7943,46.67
2023-03-01 11:00:00+0100,9509,55.87
2023-03-01 12:00:00+0100,10693,62.83
2023-03-01 13:00:00+0100,10778,63.33
2023-03-01 14:00:00+0100,9860,57.93
2023-03-01 15:00:00+0100,8015,47.1
2023-03-01 16:00:00+0100,5124,30.11
2023-03-01 17:00:00+0100,2365,13.9
2023-03-01 18:00:00+0100,159,0.94
2023-03-01 19:00:00+0100,0,0.0
2023-03-01 20:00:00+0100,0,0.0
2023-03-01 21:00:00+0100,0,0.0
2023-03-01 22:00:00+0100,0,0.0
2023-03-01 23:00:00+0100,0,0.0
2023-03-02 00:00:00+0100,0,0.0
2023-03-02 01:00:00+0100,0,0.0
2023-03-02 02:00:00+0100,0,0.0
2023-03-02 03:00:00+0100,0,0.0
2023-03-02 04:00:00+0100,0,0.0
2023-03-02 05:00:00+0100,0,0.0
2023-03-02 06:00:00+0100,0,0.0
2023-03-02 07:00:00+0100,40,0.24
2023-03-02 08:00:00+0100,1122,6.59
2023-03-02 09:00:00+0100,3585,21.06
2023-03-02 10:00:00+0100,5845,34.33
2023-03-02 11:00:00+0100,7849,46.09
2023-03-02 12:00:00+0100,9457,55.54
2023-03-02 13:00:00+0100,10245,60.16
2023-03-02 14:00:00+0100,9688,56.89
2023-03-02 15:00:00+0100,7977,46.84
2023-03-02 16:00:00+0100,5199,30.53
2023-03-02 17:00:00+0100,2197,12.9
2023-03-02 18:00:00+0100,144,0.85
2023-03-02 19:00:00+0100,0,0.0
2023-03-02 20:00:00+0100,0,0.0
2023-03-02 21:00:00+0100,0,0.0
2023-03-02 22:00:00+0100,0,0.0
2023-03-02 23:00:00+0100,0,0.0
2023-03-03 00:00:00+0100,0,0.0
2023-03-03 01:00:00+0100,0,0.0
2023-03-03 02:00:00+0100,0,0.0
2023-03-03 03:00:00+0100,0,0.0
2023-03-03 04:00:00+0100,0,0.0
2023-03-03 05:00:00+0100,0,0.0
2023-03-03 06:00:00+0100,0,0.0
2023-03-03 07:00:00+0100,38,0.23
2023-03-03 08:00:00+0100,779,4.57
2023-03-03 09:00:00+0100,2219,13.02
2023-03-03 10:00:00+0100,3493,20.5
2023-03-03 11:00:00+0100,5648,33.15
2023-03-03 12:00:00+0100,7553,44.32
2023-03-03 13:00:00+0100,7105,41.7
2023-03-03 14:00:00+0100,6821,40.03
2023-03-03 15:00:00+0100,4854,28.48
2023-03-03 16:00:00+0100,2644,15.52
2023-03-03 17:00:00+0100,1094,6.42
2023-03-03 18:00:00+0100,74,0.44
2023-03-03 19:00:00+0100,0,0.0
2023-03-03 20:00:00+0100,0,0.0
2023-03-03 21:00:00+0100,0,0.0
2023-03-03 22:00:00+0100,0,0.0
2023-03-03 23:00:00+0100,0,0.0
2023-03-04 00:00:00+0100,0,0.0
2023-03-04 01:00:00+0100,0,0.0
2023-03-04 02:00:00+0100,0,0.0
2023-03-04 03:00:00+0100,0,0.0
2023-03-04 04:00:00+0100,0,0.0
2023-03-04 05:00:00+0100,0,0.0
2023-03-04 06:00:00+0100,0,0.0
2023-03-04 07:00:00+0100,33,0.2
2023-03-04 08:00:00+0100,628,3.68
2023-03-04 09:00:00+0100,2141,12.56
2023-03-04 10:00:00+0100,3538,20.75
2023-03-04 11:00:00+0100,4401,25.81
2023-03-04 12:00:00+0100,4728,27.73
2023-03-04 13:00:00+0100,4617,27.08
2023-03-04 14:00:00+0100,4116,24.14
2023-03-04 15:00:00+0100,3639,21.34
2023-03-04 16:00:00+0100,2234,13.1
2023-03-04 17:00:00+0100,819,4.81
2023-03-04 18:00:00+0100,86,0.5
2023-03-04 19:00:00+0100,0,0.0
2023-03-04 20:00:00+0100,0,0.0
2023-03-04 21:00:00+0100,0,0.0
2023-03-04 22:00:00+0100,0,0.0
2023-03-04 23:00:00+0100,0,0.0
2023-03-05 00:00:00+0100,0,0.0
2023-03-05 01:00:00+0100,0,0.0
2023-03-05 02:00:00+0100,0,0.0
2023-03-05 03:00:00+0100,0,0.0
2023-03-05 04:00:00+0100,0,0.0
2023-03-05 05:00:00+0100,0,0.0
2023-03-05 06:00:00+0100,0,0.0
2023-03-05 07:00:00+0100,55,0.32
2023-03-05 08:00:00+0100,976,5.72
2023-03-05 09:00:00+0100,2794,16.38
2023-03-05 10:00:00+0100,4665,27.34
2023-03-05 11:00:00+0100,5671,33.24
2023-03-05 12:00:00+0100,6195,36.31
2023-03-05 13:00:00+0100,5671,33.24
2023-03-05 14:00:00+0100,5368,31.46
2023-03-05 15:00:00+0100,4162,24.39
