time,Wind_production_MW,percentage
2020-05-01 00:00:00+0200,1568,48.19
2020-05-01 01:00:00+0200,1998,61.39
2020-05-01 02:00:00+0200,2024,62.18
2020-05-01 03:00:00+0200,1922,59.06
2020-05-01 04:00:00+0200,2041,62.7
2020-05-01 05:00:00+0200,1963,60.3
2020-05-01 06:00:00+0200,1919,58.96
2020-05-01 07:00:00+0200,2000,61.46
2020-05-01 08:00:00+0200,2083,64.0
2020-05-01 09:00:00+0200,2304,70.78
2020-05-01 10:00:00+0200,2533,77.83
2020-05-01 11:00:00+0200,2813,86.41
2020-05-01 12:00:00+0200,2833,87.02
2020-05-01 13:00:00+0200,2373,72.91
2020-05-01 14:00:00+0200,2085,64.05
2020-05-01 15:00:00+0200,2196,67.46
2020-05-01 16:00:00+0200,2537,77.92
2020-05-01 17:00:00+0200,2643,81.19
2020-05-01 18:00:00+0200,2453,75.35
2020-05-01 19:00:00+0200,2052,63.03
2020-05-01 20:00:00+0200,1402,43.06
2020-05-01 21:00:00+0200,853,26.22
2020-05-01 22:00:00+0200,750,23.06
2020-05-01 23:00:00+0200,633,19.47
2020-05-02 00:00:00+0200,683,20.98
2020-05-02 01:00:00+0200,769,23.63
2020-05-02 02:00:00+0200,700,21.5
2020-05-02 03:00:00+0200,703,21.62
2020-05-02 04:00:00+0200,735,22.58
2020-05-02 05:00:00+0200,698,21.45
2020-05-02 06:00:00+0200,661,20.31
2020-05-02 07:00:00+0200,736,22.61
2020-05-02 08:00:00+0200,876,26.92
2020-05-02 09:00:00+0200,1227,37.7
2020-05-02 10:00:00+0200,1453,44.63
2020-05-02 11:00:00+0200,1747,53.65
2020-05-02 12:00:00+0200,1899,58.32
2020-05-02 13:00:00+0200,1987,61.03
2020-05-02 14:00:00+0200,2048,62.89
2020-05-02 15:00:00+0200,2204,67.7
2020-05-02 16:00:00+0200,2178,66.9
2020-05-02 17:00:00+0200,2350,72.16
2020-05-02 18:00:00+0200,2000,61.42
2020-05-02 19:00:00+0200,1239,38.06
