time,Wind_production_MW,percentage
2018-04-01 00:00:00+0200,203,6.61
2018-04-01 01:00:00+0200,131,4.29
2018-04-01 02:00:00+0200,86,2.82
2018-04-01 03:00:00+0200,112,3.66
2018-04-01 04:00:00+0200,113,3.68
2018-04-01 05:00:00+0200,113,3.67
2018-04-01 06:00:00+0200,143,4.66
2018-04-01 07:00:00+0200,206,6.71
2018-04-01 08:00:00+0200,184,5.99
2018-04-01 09:00:00+0200,446,14.49
2018-04-01 10:00:00+0200,526,17.1
2018-04-01 11:00:00+0200,426,13.87
2018-04-01 12:00:00+0200,367,11.95
2018-04-01 13:00:00+0200,363,11.8
2018-04-01 14:00:00+0200,354,11.51
2018-04-01 15:00:00+0200,434,14.13
2018-04-01 16:00:00+0200,517,16.8
2018-04-01 17:00:00+0200,509,16.56
2018-04-01 18:00:00+0200,393,12.79
2018-04-01 19:00:00+0200,241,7.83
2018-04-01 20:00:00+0200,80,2.62
2018-04-01 21:00:00+0200,1,0.04
2018-04-01 22:00:00+0200,0,0.0
2018-04-01 23:00:00+0200,0,0.0
2018-04-02 00:00:00+0200,0,0.0
2018-04-02 01:00:00+0200,0,0.0
2018-04-02 02:00:00+0200,16,0.52
2018-04-02 03:00:00+0200,29,0.95
2018-04-02 04:00:00+0200,42,1.38
2018-04-02 05:00:00+0200,49,1.61
2018-04-02 06:00:00+0200,73,2.37
2018-04-02 07:00:00+0200,103,3.38
2018-04-02 08:00:00+0200,188,6.12
2018-04-02 09:00:00+0200,324,10.53
2018-04-02 10:00:00+0200,534,17.35
2018-04-02 11:00:00+0200,786,25.54
2018-04-02 12:00:00+0200,897,29.16
2018-04-02 13:00:00+0200,934,30.36
2018-04-02 14:00:00+0200,966,31.4
2018-04-02 15:00:00+0200,1073,34.88
2018-04-02 16:00:00+0200,1153,37.48
2018-04-02 17:00:00+0200,1210,39.34
2018-04-02 18:00:00+0200,1127,36.62
2018-04-02 19:00:00+0200,1065,34.6
2018-04-02 20:00:00+0200,882,28.68
2018-04-02 21:00:00+0200,871,28.33
2018-04-02 22:00:00+0200,1028,33.43
2018-04-02 23:00:00+0200,935,30.4
2018-04-03 00:00:00+0200,989,32.15
2018-04-03 01:00:00+0200,1088,35.36
2018-04-03 02:00:00+0200,1294,42.05
2018-04-03 03:00:00+0200,1265,41.12
2018-04-03 04:00:00+0200,1229,39.93
2018-04-03 05:00:00+0200,1204,39.14
2018-04-03 06:00:00+0200,1224,39.8
2018-04-03 07:00:00+0200,1127,36.64
2018-04-03 08:00:00+0200,963,31.32
2018-04-03 09:00:00+0200,1125,36.58
2018-04-03 10:00:00+0200,1538,50.0
2018-04-03 11:00:00+0200,1930,62.71
2018-04-03 12:00:00+0200,2371,77.04
2018-04-03 13:00:00+0200,2444,79.41
2018-04-03 14:00:00+0200,2457,79.85
2018-04-03 15:00:00+0200,2339,76.01
2018-04-03 16:00:00+0200,2259,73.41
2018-04-03 17:00:00+0200,1955,63.54
2018-04-03 18:00:00+0200,1308,42.5
2018-04-03 19:00:00+0200,957,31.11
2018-04-03 20:00:00+0200,830,26.97
2018-04-03 21:00:00+0200,514,16.71
2018-04-03 22:00:00+0200,430,13.98
2018-04-03 23:00:00+0200,669,21.76
2018-04-04 00:00:00+0200,880,28.6
2018-04-04 01:00:00+0200,1327,43.14
2018-04-04 02:00:00+0200,1204,39.12
2018-04-04 03:00:00+0200,1155,37.55
2018-04-04 04:00:00+0200,854,27.77
2018-04-04 05:00:00+0200,495,16.09
2018-04-04 06:00:00+0200,440,14.32
2018-04-04 07:00:00+0200,397,12.92
2018-04-04 08:00:00+0200,333,10.82
2018-04-04 09:00:00+0200,438,14.24
2018-04-04 10:00:00+0200,647,21.04
2018-04-04 11:00:00+0200,1010,32.83
2018-04-04 12:00:00+0200,1307,42.47
2018-04-04 13:00:00+0200,1244,40.45
2018-04-04 14:00:00+0200,1270,41.26
2018-04-04 15:00:00+0200,1121,36.45
2018-04-04 16:00:00+0200,1042,33.86
2018-04-04 17:00:00+0200,905,29.41
2018-04-04 18:00:00+0200,868,28.23
2018-04-04 19:00:00+0200,544,17.68
2018-04-04 20:00:00+0200,423,13.76
2018-04-04 21:00:00+0200,367,11.95
2018-04-04 22:00:00+0200,497,16.17
2018-04-04 23:00:00+0200,566,18.4
2018-04-05 00:00:00+0200,705,22.94
2018-04-05 01:00:00+0200,1034,33.62
2018-04-05 02:00:00+0200,1439,46.76
2018-04-05 03:00:00+0200,1800,58.5
2018-04-05 04:00:00+0200,2040,66.29
2018-04-05 05:00:00+0200,2174,70.63
2018-04-05 06:00:00+0200,2266,73.65
2018-04-05 07:00:00+0200,2584,83.95
2018-04-05 08:00:00+0200,2700,87.74
2018-04-05 09:00:00+0200,2818,91.56
2018-04-05 10:00:00+0200,2848,92.54
2018-04-05 11:00:00+0200,2842,92.35
2018-04-05 12:00:00+0200,2848,92.56
2018-04-05 13:00:00+0200,2830,91.97
2018-04-05 14:00:00+0200,2760,89.69
2018-04-05 15:00:00+0200,2646,85.97
2018-04-05 16:00:00+0200,2394,77.79
2018-04-05 17:00:00+0200,1972,64.07
2018-04-05 18:00:00+0200,1508,49.0
2018-04-05 19:00:00+0200,935,30.4
2018-04-05 20:00:00+0200,432,14.07
2018-04-05 21:00:00+0200,106,3.47
2018-04-05 22:00:00+0200,68,2.24
2018-04-05 23:00:00+0200,59,1.94
2018-04-06 00:00:00+0200,68,2.21
2018-04-06 01:00:00+0200,77,2.51
2018-04-06 02:00:00+0200,81,2.66
2018-04-06 03:00:00+0200,107,3.5
2018-04-06 04:00:00+0200,136,4.42
2018-04-06 05:00:00+0200,167,5.43
2018-04-06 06:00:00+0200,207,6.73
2018-04-06 07:00:00+0200,251,8.17
2018-04-06 08:00:00+0200,370,12.05
2018-04-06 09:00:00+0200,613,19.93
2018-04-06 10:00:00+0200,978,31.8
2018-04-06 11:00:00+0200,1420,46.15
2018-04-06 12:00:00+0200,1893,61.52
2018-04-06 13:00:00+0200,2207,71.71
2018-04-06 14:00:00+0200,2362,76.75
2018-04-06 15:00:00+0200,2416,78.51
2018-04-06 16:00:00+0200,2409,78.28
2018-04-06 17:00:00+0200,2316,75.28
2018-04-06 18:00:00+0200,1937,62.95
2018-04-06 19:00:00+0200,1442,46.87
2018-04-06 20:00:00+0200,1152,37.45
2018-04-06 21:00:00+0200,1206,39.19
2018-04-06 22:00:00+0200,1169,38.0
2018-04-06 23:00:00+0200,1040,33.81
2018-04-07 00:00:00+0200,903,29.36
2018-04-07 01:00:00+0200,733,23.83
2018-04-07 02:00:00+0200,593,19.27
2018-04-07 03:00:00+0200,507,16.49
2018-04-07 04:00:00+0200,399,12.97
2018-04-07 05:00:00+0200,376,12.25
2018-04-07 06:00:00+0200,404,13.16
2018-04-07 07:00:00+0200,442,14.36
2018-04-07 08:00:00+0200,410,13.33
2018-04-07 09:00:00+0200,468,15.24
2018-04-07 10:00:00+0200,684,22.25
2018-04-07 11:00:00+0200,888,28.88
2018-04-07 12:00:00+0200,1285,41.78
2018-04-07 13:00:00+0200,1338,43.48
2018-04-07 14:00:00+0200,1359,44.18
2018-04-07 15:00:00+0200,1478,48.03
2018-04-07 16:00:00+0200,1299,42.21
2018-04-07 17:00:00+0200,854,27.78
2018-04-07 18:00:00+0200,424,13.8
2018-04-07 19:00:00+0200,123,4.01
2018-04-07 20:00:00+0200,1,0.05
2018-04-07 21:00:00+0200,0,0.0
2018-04-07 22:00:00+0200,0,0.0
2018-04-07 23:00:00+0200,0,0.0
2018-04-08 00:00:00+0200,0,0.0
2018-04-08 01:00:00+0200,0,0.0
2018-04-08 02:00:00+0200,11,0.37
2018-04-08 03:00:00+0200,0,0.01
2018-04-08 04:00:00+0200,0,0.0
2018-04-08 05:00:00+0200,0,0.0
2018-04-08 06:00:00+0200,0,0.0
2018-04-08 07:00:00+0200,0,0.0
2018-04-08 08:00:00+0200,0,0.0
2018-04-08 09:00:00+0200,0,0.0
2018-04-08 10:00:00+0200,13,0.45
2018-04-08 11:00:00+0200,28,0.93
2018-04-08 12:00:00+0200,19,0.65
2018-04-08 13:00:00+0200,41,1.36
2018-04-08 14:00:00+0200,67,2.19
2018-04-08 15:00:00+0200,118,3.85
2018-04-08 16:00:00+0200,153,4.98
2018-04-08 17:00:00+0200,204,6.64
