time,Solar_production_MW,percentage
2025-05-01 00:00:00+00:00,0.0,0.0
2025-05-01 01:00:00+00:00,0.0,0.0
2025-05-01 02:00:00+00:00,0.0,0.0
2025-05-01 03:00:00+00:00,0.0,0.0
2025-05-01 04:00:00+00:00,140.0,0.0057
2025-05-01 05:00:00+00:00,1981.0,0.0802
2025-05-01 06:00:00+00:00,5857.0,0.2371
2025-05-01 07:00:00+00:00,10421.0,0.4219
2025-05-01 08:00:00+00:00,14599.0,0.591
2025-05-01 09:00:00+00:00,17950.0,0.7267
2025-05-01 10:00:00+00:00,20275.0,0.8208
2025-05-01 11:00:00+00:00,21284.0,0.8616
2025-05-01 12:00:00+00:00,21036.0,0.8516
2025-05-01 13:00:00+00:00,19391.0,0.7849
2025-05-01 14:00:00+00:00,16161.0,0.6542
2025-05-01 15:00:00+00:00,12376.0,0.501
2025-05-01 16:00:00+00:00,7736.0,0.3132
2025-05-01 17:00:00+00:00,3758.0,0.1521
2025-05-01 18:00:00+00:00,767.0,0.031
2025-05-01 19:00:00+00:00,11.0,0.0005
2025-05-01 20:00:00+00:00,0.0,0.0
2025-05-01 21:00:00+00:00,0.0,0.0
2025-05-01 22:00:00+00:00,0.0,0.0
2025-05-01 23:00:00+00:00,0.0,0.0
2025-05-02 00:00:00+00:00,0.0,0.0
2025-05-02 01:00:00+00:00,0.0,0.0
2025-05-02 02:00:00+00:00,0.0,0.0
2025-05-02 03:00:00+00:00,0.0,0.0
2025-05-02 04:00:00+00:00,129.0,0.0052
2025-05-02 05:00:00+00:00,1819.0,0.0736
2025-05-02 06:00:00+00:00,4981.0,0.2016
2025-05-02 07:00:00+00:00,7949.0,0.3217
2025-05-02 08:00:00+00:00,11129.0,0.4504
2025-05-02 09:00:00+00:00,12990.0,0.5257
2025-05-02 10:00:00+00:00,11509.0,0.4657
2025-05-02 11:00:00+00:00,12331.0,0.499
2025-05-02 12:00:00+00:00,15759.0,0.6377
2025-05-02 13:00:00+00:00,17229.0,0.6972
2025-05-02 14:00:00+00:00,15691.0,0.6349
2025-05-02 15:00:00+00:00,12397.0,0.5017
2025-05-02 16:00:00+00:00,8319.0,0.3366
2025-05-02 17:00:00+00:00,4254.0,0.1721
2025-05-02 18:00:00+00:00,1050.0,0.0425
2025-05-02 19:00:00+00:00,6.0,0.0003
2025-05-02 20:00:00+00:00,0.0,0.0
2025-05-02 21:00:00+00:00,0.0,0.0
2025-05-02 22:00:00+00:00,0.0,0.0
2025-05-02 23:00:00+00:00,0.0,0.0
2025-05-03 00:00:00+00:00,0.0,0.0
2025-05-03 01:00:00+00:00,0.0,0.0
2025-05-03 02:00:00+00:00,0.0,0.0
2025-05-03 03:00:00+00:00,0.0,0.0
2025-05-03 04:00:00+00:00,189.0,0.0076
2025-05-03 05:00:00+00:00,1940.0,0.0785
2025-05-03 06:00:00+00:00,5290.0,0.214
2025-05-03 07:00:00+00:00,9095.0,0.3679
2025-05-03 08:00:00+00:00,12738.0,0.5153
2025-05-03 09:00:00+00:00,17340.0,0.7015
2025-05-03 10:00:00+00:00,18360.0,0.7427
2025-05-03 11:00:00+00:00,18823.0,0.7614
2025-05-03 12:00:00+00:00,18414.0,0.7449
2025-05-03 13:00:00+00:00,14160.0,0.5728
2025-05-03 14:00:00+00:00,11711.0,0.4737
2025-05-03 15:00:00+00:00,9633.0,0.3896
2025-05-03 16:00:00+00:00,5764.0,0.2331
2025-05-03 17:00:00+00:00,2423.0,0.098
2025-05-03 18:00:00+00:00,974.0,0.0394
2025-05-03 19:00:00+00:00,38.0,0.0016
2025-05-03 20:00:00+00:00,0.0,0.0
2025-05-03 21:00:00+00:00,0.0,0.0
2025-05-03 22:00:00+00:00,0.0,0.0
2025-05-03 23:00:00+00:00,0.0,0.0
2025-05-04 00:00:00+00:00,0.0,0.0
2025-05-04 01:00:00+00:00,0.0,0.0
2025-05-04 02:00:00+00:00,0.0,0.0
2025-05-04 03:00:00+00:00,0.0,0.0
2025-05-04 04:00:00+00:00,119.0,0.0048
2025-05-04 05:00:00+00:00,1129.0,0.0457
2025-05-04 06:00:00+00:00,3276.0,0.1325
2025-05-04 07:00:00+00:00,6095.0,0.2465
2025-05-04 08:00:00+00:00,7724.0,0.3124
2025-05-04 09:00:00+00:00,11010.0,0.4452
2025-05-04 10:00:00+00:00,12275.0,0.4964
2025-05-04 11:00:00+00:00,14295.0,0.5781
2025-05-04 12:00:00+00:00,12083.0,0.4886
2025-05-04 13:00:00+00:00,12752.0,0.5157
2025-05-04 14:00:00+00:00,11507.0,0.4653
2025-05-04 15:00:00+00:00,8731.0,0.353
2025-05-04 16:00:00+00:00,6189.0,0.2503
2025-05-04 17:00:00+00:00,3597.0,0.1454
2025-05-04 18:00:00+00:00,1214.0,0.0491
2025-05-04 19:00:00+00:00,32.0,0.0013
2025-05-04 20:00:00+00:00,0.0,0.0
2025-05-04 21:00:00+00:00,0.0,0.0
2025-05-04 22:00:00+00:00,0.0,0.0
2025-05-04 23:00:00+00:00,0.0,0.0
2025-05-05 00:00:00+00:00,0.0,0.0
2025-05-05 01:00:00+00:00,0.0,0.0
2025-05-05 02:00:00+00:00,0.0,0.0
2025-05-05 03:00:00+00:00,0.0,0.0
2025-05-05 04:00:00+00:00,198.0,0.008
2025-05-05 05:00:00+00:00,1827.0,0.0739
2025-05-05 06:00:00+00:00,4819.0,0.1948
2025-05-05 07:00:00+00:00,8977.0,0.3629
2025-05-05 08:00:00+00:00,12436.0,0.5027
2025-05-05 09:00:00+00:00,13806.0,0.5581
2025-05-05 10:00:00+00:00,15851.0,0.6408
2025-05-05 11:00:00+00:00,16583.0,0.6704
2025-05-05 12:00:00+00:00,15162.0,0.6129
2025-05-05 13:00:00+00:00,14447.0,0.584
2025-05-05 14:00:00+00:00,12684.0,0.5127
2025-05-05 15:00:00+00:00,10249.0,0.4143
2025-05-05 16:00:00+00:00,7409.0,0.2995
2025-05-05 17:00:00+00:00,4122.0,0.1666
2025-05-05 18:00:00+00:00,1572.0,0.0635
2025-05-05 19:00:00+00:00,37.0,0.0015
2025-05-05 20:00:00+00:00,0.0,0.0
2025-05-05 21:00:00+00:00,0.0,0.0
2025-05-05 22:00:00+00:00,0.0,0.0
2025-05-05 23:00:00+00:00,0.0,0.0
2025-05-06 00:00:00+00:00,0.0,0.0
2025-05-06 01:00:00+00:00,0.0,0.0
2025-05-06 02:00:00+00:00,0.0,0.0
2025-05-06 03:00:00+00:00,0.0,0.0
2025-05-06 04:00:00+00:00,247.0,0.01
2025-05-06 05:00:00+00:00,2115.0,0.0855
2025-05-06 06:00:00+00:00,5408.0,0.2185
2025-05-06 07:00:00+00:00,9035.0,0.3651
2025-05-06 08:00:00+00:00,11683.0,0.4721
2025-05-06 09:00:00+00:00,13431.0,0.5427
2025-05-06 10:00:00+00:00,13522.0,0.5464
2025-05-06 11:00:00+00:00,13176.0,0.5324
2025-05-06 12:00:00+00:00,12660.0,0.5116
2025-05-06 13:00:00+00:00,10665.0,0.431
2025-05-06 14:00:00+00:00,8181.0,0.3305
2025-05-06 15:00:00+00:00,5621.0,0.2271
2025-05-06 16:00:00+00:00,3285.0,0.1327
2025-05-06 17:00:00+00:00,1939.0,0.0783
2025-05-06 18:00:00+00:00,674.0,0.0272
2025-05-06 19:00:00+00:00,41.0,0.0017
2025-05-06 20:00:00+00:00,0.0,0.0
2025-05-06 21:00:00+00:00,0.0,0.0
2025-05-06 22:00:00+00:00,0.0,0.0
2025-05-06 23:00:00+00:00,0.0,0.0
2025-05-07 00:00:00+00:00,0.0,0.0
2025-05-07 01:00:00+00:00,0.0,0.0
2025-05-07 02:00:00+00:00,0.0,0.0
2025-05-07 03:00:00+00:00,0.0,0.0
2025-05-07 04:00:00+00:00,194.0,0.0078
2025-05-07 05:00:00+00:00,1241.0,0.0501
2025-05-07 06:00:00+00:00,3289.0,0.1329
2025-05-07 07:00:00+00:00,6339.0,0.2561
2025-05-07 08:00:00+00:00,8907.0,0.3598
2025-05-07 09:00:00+00:00,11513.0,0.4651
2025-05-07 10:00:00+00:00,12997.0,0.525
2025-05-07 11:00:00+00:00,16385.0,0.6619
2025-05-07 12:00:00+00:00,16245.0,0.6562
2025-05-07 13:00:00+00:00,14091.0,0.5692
2025-05-07 14:00:00+00:00,12541.0,0.5066
2025-05-07 15:00:00+00:00,9508.0,0.384
2025-05-07 16:00:00+00:00,6713.0,0.2711
2025-05-07 17:00:00+00:00,3472.0,0.1402
2025-05-07 18:00:00+00:00,1216.0,0.0491
2025-05-07 19:00:00+00:00,57.0,0.0023
2025-05-07 20:00:00+00:00,0.0,0.0
2025-05-07 21:00:00+00:00,0.0,0.0
2025-05-07 22:00:00+00:00,0.0,0.0
2025-05-07 23:00:00+00:00,0.0,0.0
2025-05-08 00:00:00+00:00,0.0,0.0
2025-05-08 01:00:00+00:00,0.0,0.0
2025-05-08 02:00:00+00:00,0.0,0.0
2025-05-08 03:00:00+00:00,0.0,0.0
2025-05-08 04:00:00+00:00,261.0,0.0105
2025-05-08 05:00:00+00:00,1995.0,0.0806
2025-05-08 06:00:00+00:00,4925.0,0.1989
2025-05-08 07:00:00+00:00,9544.0,0.3854
2025-05-08 08:00:00+00:00,13753.0,0.5554
2025-05-08 09:00:00+00:00,17552.0,0.7088
2025-05-08 10:00:00+00:00,19405.0,0.7836
2025-05-08 11:00:00+00:00,19101.0,0.7713
2025-05-08 12:00:00+00:00,18082.0,0.7301
2025-05-08 13:00:00+00:00,15073.0,0.6086
2025-05-08 14:00:00+00:00,12564.0,0.5073
2025-05-08 15:00:00+00:00,9515.0,0.3842
2025-05-08 16:00:00+00:00,6629.0,0.2677
2025-05-08 17:00:00+00:00,3294.0,0.133
2025-05-08 18:00:00+00:00,1176.0,0.0475
2025-05-08 19:00:00+00:00,75.0,0.003
2025-05-08 20:00:00+00:00,0.0,0.0
2025-05-08 21:00:00+00:00,0.0,0.0
2025-05-08 22:00:00+00:00,0.0,0.0
2025-05-08 23:00:00+00:00,0.0,0.0
2025-05-09 00:00:00+00:00,0.0,0.0
2025-05-09 01:00:00+00:00,0.0,0.0
2025-05-09 02:00:00+00:00,0.0,0.0
2025-05-09 03:00:00+00:00,0.0,0.0
2025-05-09 04:00:00+00:00,376.0,0.0152
2025-05-09 05:00:00+00:00,2717.0,0.1097
2025-05-09 06:00:00+00:00,6668.0,0.2692
