time,Wind_production_MW,percentage
2022-04-01 00:00:00+00:00,4678.0,0.9845
2022-04-01 01:00:00+00:00,4546.0,0.9566
2022-04-01 02:00:00+00:00,4435.0,0.9332
2022-04-01 03:00:00+00:00,4306.0,0.9062
2022-04-01 04:00:00+00:00,4332.0,0.9115
2022-04-01 05:00:00+00:00,4413.0,0.9286
2022-04-01 06:00:00+00:00,4251.0,0.8946
2022-04-01 07:00:00+00:00,4581.0,0.964
2022-04-01 08:00:00+00:00,4797.0,1.0094
2022-04-01 09:00:00+00:00,4767.0,1.003
2022-04-01 10:00:00+00:00,4582.0,0.9641
2022-04-01 11:00:00+00:00,4628.0,0.9738
2022-04-01 12:00:00+00:00,4652.0,0.9788
2022-04-01 13:00:00+00:00,4769.0,1.0034
2022-04-01 14:00:00+00:00,4740.0,0.9971
2022-04-01 15:00:00+00:00,4732.0,0.9954
2022-04-01 16:00:00+00:00,4726.0,0.9942
2022-04-01 17:00:00+00:00,4627.0,0.9733
2022-04-01 18:00:00+00:00,4052.0,0.8523
2022-04-01 19:00:00+00:00,3205.0,0.6741
2022-04-01 20:00:00+00:00,2568.0,0.5401
2022-04-01 21:00:00+00:00,2330.0,0.49
2022-04-01 22:00:00+00:00,2063.0,0.434
2022-04-01 23:00:00+00:00,1788.0,0.376
2022-04-02 00:00:00+00:00,1588.0,0.3341
2022-04-02 01:00:00+00:00,1158.0,0.2435
2022-04-02 02:00:00+00:00,1002.0,0.2107
2022-04-02 03:00:00+00:00,917.0,0.1928
2022-04-02 04:00:00+00:00,806.0,0.1695
2022-04-02 05:00:00+00:00,791.0,0.1664
2022-04-02 06:00:00+00:00,761.0,0.16
2022-04-02 07:00:00+00:00,1349.0,0.2836
2022-04-02 08:00:00+00:00,2680.0,0.5635
2022-04-02 09:00:00+00:00,3696.0,0.7772
2022-04-02 10:00:00+00:00,3859.0,0.8115
2022-04-02 11:00:00+00:00,3790.0,0.797
2022-04-02 12:00:00+00:00,3578.0,0.7522
2022-04-02 13:00:00+00:00,3553.0,0.747
2022-04-02 14:00:00+00:00,3477.0,0.7311
2022-04-02 15:00:00+00:00,3584.0,0.7536
2022-04-02 16:00:00+00:00,3636.0,0.7644
2022-04-02 17:00:00+00:00,3035.0,0.6381
2022-04-02 18:00:00+00:00,1748.0,0.3674
2022-04-02 19:00:00+00:00,796.0,0.1674
2022-04-02 20:00:00+00:00,378.0,0.0795
2022-04-02 21:00:00+00:00,210.0,0.0441
2022-04-02 22:00:00+00:00,120.0,0.0253
2022-04-02 23:00:00+00:00,62.0,0.0131
2022-04-03 00:00:00+00:00,31.0,0.0066
2022-04-03 01:00:00+00:00,26.0,0.0055
2022-04-03 02:00:00+00:00,65.0,0.0137
2022-04-03 03:00:00+00:00,112.0,0.0235
2022-04-03 04:00:00+00:00,125.0,0.0263
2022-04-03 05:00:00+00:00,213.0,0.0448
2022-04-03 06:00:00+00:00,248.0,0.0521
2022-04-03 07:00:00+00:00,302.0,0.0635
2022-04-03 08:00:00+00:00,523.0,0.1098
2022-04-03 09:00:00+00:00,626.0,0.1315
2022-04-03 10:00:00+00:00,873.0,0.1834
2022-04-03 11:00:00+00:00,1007.0,0.2115
2022-04-03 12:00:00+00:00,1195.0,0.2511
2022-04-03 13:00:00+00:00,1406.0,0.2955
2022-04-03 14:00:00+00:00,1675.0,0.3519
2022-04-03 15:00:00+00:00,1901.0,0.3993
2022-04-03 16:00:00+00:00,1839.0,0.3863
2022-04-03 17:00:00+00:00,1608.0,0.3378
2022-04-03 18:00:00+00:00,938.0,0.1971
2022-04-03 19:00:00+00:00,513.0,0.1077
2022-04-03 20:00:00+00:00,487.0,0.1024
2022-04-03 21:00:00+00:00,762.0,0.1601
2022-04-03 22:00:00+00:00,1301.0,0.2734
2022-04-03 23:00:00+00:00,1845.0,0.3876
2022-04-04 00:00:00+00:00,2536.0,0.5328
2022-04-04 01:00:00+00:00,3152.0,0.6622
2022-04-04 02:00:00+00:00,3739.0,0.7853
2022-04-04 03:00:00+00:00,4115.0,0.8643
2022-04-04 04:00:00+00:00,4407.0,0.9256
2022-04-04 05:00:00+00:00,4614.0,0.9692
2022-04-04 06:00:00+00:00,4804.0,1.009
2022-04-04 07:00:00+00:00,4922.0,1.0338
2022-04-04 08:00:00+00:00,4966.0,1.0429
2022-04-04 09:00:00+00:00,4972.0,1.0442
2022-04-04 10:00:00+00:00,4975.0,1.0449
2022-04-04 11:00:00+00:00,4974.0,1.0445
2022-04-04 12:00:00+00:00,4963.0,1.0422
2022-04-04 13:00:00+00:00,4922.0,1.0335
2022-04-04 14:00:00+00:00,4819.0,1.012
2022-04-04 15:00:00+00:00,4635.0,0.9732
2022-04-04 16:00:00+00:00,4490.0,0.9429
2022-04-04 17:00:00+00:00,4112.0,0.8635
2022-04-04 18:00:00+00:00,3536.0,0.7425
2022-04-04 19:00:00+00:00,2907.0,0.6104
2022-04-04 20:00:00+00:00,2608.0,0.5476
2022-04-04 21:00:00+00:00,2399.0,0.5036
2022-04-04 22:00:00+00:00,2103.0,0.4416
2022-04-04 23:00:00+00:00,1965.0,0.4125
2022-04-05 00:00:00+00:00,1935.0,0.4063
2022-04-05 01:00:00+00:00,1781.0,0.3738
2022-04-05 02:00:00+00:00,1390.0,0.2918
2022-04-05 03:00:00+00:00,1254.0,0.2633
2022-04-05 04:00:00+00:00,1267.0,0.2659
2022-04-05 05:00:00+00:00,1224.0,0.257
2022-04-05 06:00:00+00:00,1178.0,0.2473
2022-04-05 07:00:00+00:00,1313.0,0.2757
2022-04-05 08:00:00+00:00,1707.0,0.3583
2022-04-05 09:00:00+00:00,2134.0,0.4479
2022-04-05 10:00:00+00:00,2613.0,0.5484
2022-04-05 11:00:00+00:00,3007.0,0.631
2022-04-05 12:00:00+00:00,3331.0,0.6991
2022-04-05 13:00:00+00:00,3516.0,0.7378
2022-04-05 14:00:00+00:00,3733.0,0.7834
2022-04-05 15:00:00+00:00,3910.0,0.8206
2022-04-05 16:00:00+00:00,3701.0,0.7766
2022-04-05 17:00:00+00:00,3232.0,0.6782
2022-04-05 18:00:00+00:00,3053.0,0.6406
2022-04-05 19:00:00+00:00,2734.0,0.5736
2022-04-05 20:00:00+00:00,2492.0,0.5229
2022-04-05 21:00:00+00:00,2600.0,0.5455
2022-04-05 22:00:00+00:00,2568.0,0.5387
2022-04-05 23:00:00+00:00,2620.0,0.5496
2022-04-06 00:00:00+00:00,2813.0,0.5903
2022-04-06 01:00:00+00:00,3048.0,0.6395
2022-04-06 02:00:00+00:00,3480.0,0.7301
2022-04-06 03:00:00+00:00,3964.0,0.8316
2022-04-06 04:00:00+00:00,4094.0,0.8589
2022-04-06 05:00:00+00:00,4278.0,0.8974
2022-04-06 06:00:00+00:00,4473.0,0.9383
2022-04-06 07:00:00+00:00,4617.0,0.9684
2022-04-06 08:00:00+00:00,4727.0,0.9916
2022-04-06 09:00:00+00:00,4803.0,1.0075
2022-04-06 10:00:00+00:00,4816.0,1.0102
2022-04-06 11:00:00+00:00,4827.0,1.0125
2022-04-06 12:00:00+00:00,4849.0,1.0171
2022-04-06 13:00:00+00:00,4821.0,1.0112
2022-04-06 14:00:00+00:00,4883.0,1.0242
2022-04-06 15:00:00+00:00,4890.0,1.0256
2022-04-06 16:00:00+00:00,4837.0,1.0144
2022-04-06 17:00:00+00:00,4853.0,1.0178
2022-04-06 18:00:00+00:00,4849.0,1.0169
2022-04-06 19:00:00+00:00,4865.0,1.0203
2022-04-06 20:00:00+00:00,4865.0,1.0202
2022-04-06 21:00:00+00:00,4837.0,1.0142
2022-04-06 22:00:00+00:00,4846.0,1.0162
2022-04-06 23:00:00+00:00,4861.0,1.0193
2022-04-07 00:00:00+00:00,4858.0,1.0187
2022-04-07 01:00:00+00:00,4879.0,1.0231
2022-04-07 02:00:00+00:00,4899.0,1.0272
2022-04-07 03:00:00+00:00,4914.0,1.0303
2022-04-07 04:00:00+00:00,4942.0,1.0362
2022-04-07 05:00:00+00:00,4955.0,1.0388
2022-04-07 06:00:00+00:00,4695.0,0.9842
2022-04-07 07:00:00+00:00,4633.0,0.9711
2022-04-07 08:00:00+00:00,4544.0,0.9526
2022-04-07 09:00:00+00:00,4682.0,0.9814
2022-04-07 10:00:00+00:00,4865.0,1.0199
2022-04-07 11:00:00+00:00,4442.0,0.931
2022-04-07 12:00:00+00:00,3917.0,0.821
2022-04-07 13:00:00+00:00,4792.0,1.0045
2022-04-07 14:00:00+00:00,4089.0,0.857
2022-04-07 15:00:00+00:00,4452.0,0.9331
2022-04-07 16:00:00+00:00,4450.0,0.9327
2022-04-07 17:00:00+00:00,4982.0,1.0442
2022-04-07 18:00:00+00:00,4978.0,1.0433
2022-04-07 19:00:00+00:00,4981.0,1.0439
2022-04-07 20:00:00+00:00,4961.0,1.0396
2022-04-07 21:00:00+00:00,4896.0,1.0261
2022-04-07 22:00:00+00:00,4756.0,0.9967
2022-04-07 23:00:00+00:00,4341.0,0.9097
2022-04-08 00:00:00+00:00,3990.0,0.8361
2022-04-08 01:00:00+00:00,3573.0,0.7488
2022-04-08 02:00:00+00:00,2918.0,0.6115
2022-04-08 03:00:00+00:00,3084.0,0.6461
2022-04-08 04:00:00+00:00,2362.0,0.4949
2022-04-08 05:00:00+00:00,2033.0,0.4259
2022-04-08 06:00:00+00:00,1844.0,0.3863
2022-04-08 07:00:00+00:00,1994.0,0.4178
2022-04-08 08:00:00+00:00,2494.0,0.5225
2022-04-08 09:00:00+00:00,2478.0,0.5191
2022-04-08 10:00:00+00:00,2311.0,0.4842
2022-04-08 11:00:00+00:00,2202.0,0.4612
2022-04-08 12:00:00+00:00,2001.0,0.4191
2022-04-08 13:00:00+00:00,2141.0,0.4486
2022-04-08 14:00:00+00:00,2308.0,0.4835
2022-04-08 15:00:00+00:00,2626.0,0.55
2022-04-08 16:00:00+00:00,2797.0,0.5858
2022-04-08 17:00:00+00:00,2651.0,0.5553
2022-04-08 18:00:00+00:00,2282.0,0.478
2022-04-08 19:00:00+00:00,1866.0,0.3909
2022-04-08 20:00:00+00:00,1805.0,0.378
2022-04-08 21:00:00+00:00,1905.0,0.3989
2022-04-08 22:00:00+00:00,2114.0,0.4427
2022-04-08 23:00:00+00:00,2070.0,0.4336
2022-04-09 00:00:00+00:00,2257.0,0.4727
2022-04-09 01:00:00+00:00,2255.0,0.4722
2022-04-09 02:00:00+00:00,2364.0,0.4949
2022-04-09 03:00:00+00:00,2429.0,0.5085
2022-04-09 04:00:00+00:00,2294.0,0.4804
2022-04-09 05:00:00+00:00,2472.0,0.5177
2022-04-09 06:00:00+00:00,2709.0,0.5673
2022-04-09 07:00:00+00:00,3167.0,0.663
2022-04-09 08:00:00+00:00,3756.0,0.7864
2022-04-09 09:00:00+00:00,4065.0,0.851
2022-04-09 10:00:00+00:00,4017.0,0.8411
2022-04-09 11:00:00+00:00,4226.0,0.8847
2022-04-09 12:00:00+00:00,4278.0,0.8956
2022-04-09 13:00:00+00:00,4293.0,0.8988
2022-04-09 14:00:00+00:00,4500.0,0.942
2022-04-09 15:00:00+00:00,4340.0,0.9086
2022-04-09 16:00:00+00:00,4020.0,0.8414
2022-04-09 17:00:00+00:00,3739.0,0.7826
2022-04-09 18:00:00+00:00,2326.0,0.487
2022-04-09 19:00:00+00:00,1323.0,0.277
2022-04-09 20:00:00+00:00,1170.0,0.245
2022-04-09 21:00:00+00:00,1037.0,0.2171
2022-04-09 22:00:00+00:00,1026.0,0.2147
2022-04-09 23:00:00+00:00,967.0,0.2025
2022-04-10 00:00:00+00:00,993.0,0.2077
2022-04-10 01:00:00+00:00,975.0,0.2041
2022-04-10 02:00:00+00:00,1039.0,0.2175
2022-04-10 03:00:00+00:00,1043.0,0.2183
2022-04-10 04:00:00+00:00,922.0,0.1929
2022-04-10 05:00:00+00:00,998.0,0.2089
2022-04-10 06:00:00+00:00,929.0,0.1943
2022-04-10 07:00:00+00:00,1049.0,0.2194
2022-04-10 08:00:00+00:00,1488.0,0.3114
2022-04-10 09:00:00+00:00,1741.0,0.3643
2022-04-10 10:00:00+00:00,1510.0,0.316
2022-04-10 11:00:00+00:00,1341.0,0.2806
2022-04-10 12:00:00+00:00,1292.0,0.2703
2022-04-10 13:00:00+00:00,1156.0,0.2419
2022-04-10 14:00:00+00:00,1110.0,0.2323
2022-04-10 15:00:00+00:00,942.0,0.1972
2022-04-10 16:00:00+00:00,643.0,0.1346
2022-04-10 17:00:00+00:00,346.0,0.0723
2022-04-10 18:00:00+00:00,70.0,0.0146
2022-04-10 19:00:00+00:00,0.0,0.0
2022-04-10 20:00:00+00:00,0.0,0.0
2022-04-10 21:00:00+00:00,16.0,0.0033
2022-04-10 22:00:00+00:00,21.0,0.0043
2022-04-10 23:00:00+00:00,40.0,0.0083
2022-04-11 00:00:00+00:00,53.0,0.0111
2022-04-11 01:00:00+00:00,24.0,0.0051
2022-04-11 02:00:00+00:00,7.0,0.0014
2022-04-11 03:00:00+00:00,16.0,0.0033
2022-04-11 04:00:00+00:00,28.0,0.006
2022-04-11 05:00:00+00:00,52.0,0.0109
2022-04-11 06:00:00+00:00,55.0,0.0115
2022-04-11 07:00:00+00:00,103.0,0.0216
2022-04-11 08:00:00+00:00,234.0,0.049
2022-04-11 09:00:00+00:00,525.0,0.1097
2022-04-11 10:00:00+00:00,1069.0,0.2236
2022-04-11 11:00:00+00:00,1495.0,0.3126
2022-04-11 12:00:00+00:00,1890.0,0.3951
2022-04-11 13:00:00+00:00,2062.0,0.4311
2022-04-11 14:00:00+00:00,2150.0,0.4495
2022-04-11 15:00:00+00:00,2464.0,0.5151
2022-04-11 16:00:00+00:00,2404.0,0.5026
2022-04-11 17:00:00+00:00,2065.0,0.4316
2022-04-11 18:00:00+00:00,1699.0,0.3552
2022-04-11 19:00:00+00:00,1745.0,0.3647
2022-04-11 20:00:00+00:00,1828.0,0.3822
2022-04-11 21:00:00+00:00,1927.0,0.4028
2022-04-11 22:00:00+00:00,1921.0,0.4017
2022-04-11 23:00:00+00:00,1851.0,0.3868
2022-04-12 00:00:00+00:00,1506.0,0.3148
2022-04-12 01:00:00+00:00,1326.0,0.2771
2022-04-12 02:00:00+00:00,1164.0,0.2434
2022-04-12 03:00:00+00:00,1112.0,0.2324
2022-04-12 04:00:00+00:00,1177.0,0.2459
2022-04-12 05:00:00+00:00,1330.0,0.278
2022-04-12 06:00:00+00:00,1272.0,0.2658
2022-04-12 07:00:00+00:00,1552.0,0.3243
2022-04-12 08:00:00+00:00,1655.0,0.3459
2022-04-12 09:00:00+00:00,1719.0,0.3593
2022-04-12 10:00:00+00:00,1581.0,0.3305
2022-04-12 11:00:00+00:00,1867.0,0.3902
2022-04-12 12:00:00+00:00,1992.0,0.4164
2022-04-12 13:00:00+00:00,1987.0,0.4151
2022-04-12 14:00:00+00:00,1776.0,0.3711
2022-04-12 15:00:00+00:00,1489.0,0.3112
2022-04-12 16:00:00+00:00,963.0,0.2012
2022-04-12 17:00:00+00:00,576.0,0.1203
2022-04-12 18:00:00+00:00,274.0,0.0572
2022-04-12 19:00:00+00:00,156.0,0.0325
2022-04-12 20:00:00+00:00,99.0,0.0208
2022-04-12 21:00:00+00:00,78.0,0.0163
2022-04-12 22:00:00+00:00,47.0,0.0098
2022-04-12 23:00:00+00:00,40.0,0.0083
2022-04-13 00:00:00+00:00,95.0,0.0199
2022-04-13 01:00:00+00:00,187.0,0.0391
2022-04-13 02:00:00+00:00,201.0,0.042
2022-04-13 03:00:00+00:00,188.0,0.0393
2022-04-13 04:00:00+00:00,181.0,0.0378
2022-04-13 05:00:00+00:00,189.0,0.0395
2022-04-13 06:00:00+00:00,226.0,0.0472
2022-04-13 07:00:00+00:00,322.0,0.0672
2022-04-13 08:00:00+00:00,495.0,0.1034
2022-04-13 09:00:00+00:00,501.0,0.1046
2022-04-13 10:00:00+00:00,613.0,0.128
2022-04-13 11:00:00+00:00,835.0,0.1744
2022-04-13 12:00:00+00:00,950.0,0.1983
2022-04-13 13:00:00+00:00,1026.0,0.2144
2022-04-13 14:00:00+00:00,1036.0,0.2164
2022-04-13 15:00:00+00:00,739.0,0.1542
2022-04-13 16:00:00+00:00,488.0,0.102
2022-04-13 17:00:00+00:00,322.0,0.0673
2022-04-13 18:00:00+00:00,267.0,0.0558
2022-04-13 19:00:00+00:00,188.0,0.0392
2022-04-13 20:00:00+00:00,147.0,0.0307
2022-04-13 21:00:00+00:00,177.0,0.037
2022-04-13 22:00:00+00:00,192.0,0.0402
2022-04-13 23:00:00+00:00,146.0,0.0305
2022-04-14 00:00:00+00:00,144.0,0.03
2022-04-14 01:00:00+00:00,110.0,0.023
2022-04-14 02:00:00+00:00,32.0,0.0067
2022-04-14 03:00:00+00:00,20.0,0.0041
2022-04-14 04:00:00+00:00,39.0,0.0081
2022-04-14 05:00:00+00:00,51.0,0.0106
2022-04-14 06:00:00+00:00,60.0,0.0126
2022-04-14 07:00:00+00:00,125.0,0.0262
2022-04-14 08:00:00+00:00,129.0,0.027
2022-04-14 09:00:00+00:00,243.0,0.0507
2022-04-14 10:00:00+00:00,625.0,0.1305
2022-04-14 11:00:00+00:00,1036.0,0.2161
2022-04-14 12:00:00+00:00,1305.0,0.2723
2022-04-14 13:00:00+00:00,1498.0,0.3126
2022-04-14 14:00:00+00:00,1388.0,0.2897
2022-04-14 15:00:00+00:00,1333.0,0.2781
2022-04-14 16:00:00+00:00,1155.0,0.2411
2022-04-14 17:00:00+00:00,877.0,0.183
2022-04-14 18:00:00+00:00,435.0,0.0908
2022-04-14 19:00:00+00:00,268.0,0.056
2022-04-14 20:00:00+00:00,183.0,0.0381
2022-04-14 21:00:00+00:00,107.0,0.0223
2022-04-14 22:00:00+00:00,68.0,0.0141
2022-04-14 23:00:00+00:00,45.0,0.0094
2022-04-15 00:00:00+00:00,60.0,0.0124
2022-04-15 01:00:00+00:00,78.0,0.0162
2022-04-15 02:00:00+00:00,101.0,0.0211
2022-04-15 03:00:00+00:00,162.0,0.0337
2022-04-15 04:00:00+00:00,214.0,0.0446
2022-04-15 05:00:00+00:00,171.0,0.0356
2022-04-15 06:00:00+00:00,279.0,0.0581
2022-04-15 07:00:00+00:00,395.0,0.0824
2022-04-15 08:00:00+00:00,473.0,0.0986
2022-04-15 09:00:00+00:00,501.0,0.1045
2022-04-15 10:00:00+00:00,448.0,0.0935
2022-04-15 11:00:00+00:00,327.0,0.0683
2022-04-15 12:00:00+00:00,324.0,0.0676
2022-04-15 13:00:00+00:00,307.0,0.064
2022-04-15 14:00:00+00:00,370.0,0.0771
2022-04-15 15:00:00+00:00,522.0,0.1089
2022-04-15 16:00:00+00:00,758.0,0.1581
2022-04-15 17:00:00+00:00,771.0,0.1608
2022-04-15 18:00:00+00:00,623.0,0.1298
2022-04-15 19:00:00+00:00,609.0,0.1271
2022-04-15 20:00:00+00:00,560.0,0.1167
2022-04-15 21:00:00+00:00,472.0,0.0985
2022-04-15 22:00:00+00:00,421.0,0.0878
2022-04-15 23:00:00+00:00,407.0,0.0849
2022-04-16 00:00:00+00:00,370.0,0.0772
2022-04-16 01:00:00+00:00,364.0,0.0759
2022-04-16 02:00:00+00:00,340.0,0.0708
2022-04-16 03:00:00+00:00,318.0,0.0662
2022-04-16 04:00:00+00:00,408.0,0.085
2022-04-16 05:00:00+00:00,674.0,0.1405
2022-04-16 06:00:00+00:00,1236.0,0.2577
2022-04-16 07:00:00+00:00,1598.0,0.3332
2022-04-16 08:00:00+00:00,1659.0,0.3459
2022-04-16 09:00:00+00:00,1691.0,0.3526
2022-04-16 10:00:00+00:00,1786.0,0.3724
2022-04-16 11:00:00+00:00,1702.0,0.3549
2022-04-16 12:00:00+00:00,1668.0,0.3477
2022-04-16 13:00:00+00:00,1715.0,0.3575
2022-04-16 14:00:00+00:00,1700.0,0.3544
2022-04-16 15:00:00+00:00,1812.0,0.3777
2022-04-16 16:00:00+00:00,1789.0,0.3728
2022-04-16 17:00:00+00:00,1397.0,0.2912
2022-04-16 18:00:00+00:00,859.0,0.179
2022-04-16 19:00:00+00:00,520.0,0.1083
2022-04-16 20:00:00+00:00,505.0,0.1053
2022-04-16 21:00:00+00:00,621.0,0.1295
2022-04-16 22:00:00+00:00,774.0,0.1613
2022-04-16 23:00:00+00:00,706.0,0.1472
2022-04-17 00:00:00+00:00,486.0,0.1014
2022-04-17 01:00:00+00:00,491.0,0.1024
2022-04-17 02:00:00+00:00,420.0,0.0875
2022-04-17 03:00:00+00:00,334.0,0.0695
2022-04-17 04:00:00+00:00,324.0,0.0675
2022-04-17 05:00:00+00:00,314.0,0.0655
2022-04-17 06:00:00+00:00,352.0,0.0734
2022-04-17 07:00:00+00:00,563.0,0.1174
2022-04-17 08:00:00+00:00,744.0,0.1551
2022-04-17 09:00:00+00:00,659.0,0.1374
2022-04-17 10:00:00+00:00,553.0,0.1152
2022-04-17 11:00:00+00:00,747.0,0.1557
2022-04-17 12:00:00+00:00,1034.0,0.2153
2022-04-17 13:00:00+00:00,1337.0,0.2785
2022-04-17 14:00:00+00:00,1434.0,0.2988
2022-04-17 15:00:00+00:00,1273.0,0.2651
2022-04-17 16:00:00+00:00,1339.0,0.279
2022-04-17 17:00:00+00:00,1121.0,0.2336
2022-04-17 18:00:00+00:00,696.0,0.145
2022-04-17 19:00:00+00:00,502.0,0.1045
2022-04-17 20:00:00+00:00,510.0,0.1062
2022-04-17 21:00:00+00:00,601.0,0.1252
2022-04-17 22:00:00+00:00,723.0,0.1506
2022-04-17 23:00:00+00:00,711.0,0.1481
2022-04-18 00:00:00+00:00,711.0,0.1482
2022-04-18 01:00:00+00:00,723.0,0.1506
2022-04-18 02:00:00+00:00,671.0,0.1398
2022-04-18 03:00:00+00:00,638.0,0.1329
2022-04-18 04:00:00+00:00,624.0,0.1298
2022-04-18 05:00:00+00:00,586.0,0.122
2022-04-18 06:00:00+00:00,672.0,0.14
2022-04-18 07:00:00+00:00,780.0,0.1623
2022-04-18 08:00:00+00:00,800.0,0.1667
2022-04-18 09:00:00+00:00,714.0,0.1487
2022-04-18 10:00:00+00:00,495.0,0.1032
2022-04-18 11:00:00+00:00,424.0,0.0882
2022-04-18 12:00:00+00:00,419.0,0.0872
2022-04-18 13:00:00+00:00,211.0,0.044
2022-04-18 14:00:00+00:00,100.0,0.0208
2022-04-18 15:00:00+00:00,63.0,0.0132
2022-04-18 16:00:00+00:00,35.0,0.0072
2022-04-18 17:00:00+00:00,97.0,0.0202
2022-04-18 18:00:00+00:00,73.0,0.0153
2022-04-18 19:00:00+00:00,108.0,0.0224
2022-04-18 20:00:00+00:00,104.0,0.0216
2022-04-18 21:00:00+00:00,83.0,0.0173
2022-04-18 22:00:00+00:00,45.0,0.0094
2022-04-18 23:00:00+00:00,37.0,0.0078
2022-04-19 00:00:00+00:00,30.0,0.0062
2022-04-19 01:00:00+00:00,28.0,0.0058
2022-04-19 02:00:00+00:00,29.0,0.0061
2022-04-19 03:00:00+00:00,21.0,0.0045
2022-04-19 04:00:00+00:00,34.0,0.007
2022-04-19 05:00:00+00:00,76.0,0.0157
2022-04-19 06:00:00+00:00,134.0,0.0279
2022-04-19 07:00:00+00:00,240.0,0.0499
2022-04-19 08:00:00+00:00,540.0,0.1124
2022-04-19 09:00:00+00:00,1091.0,0.2271
2022-04-19 10:00:00+00:00,1636.0,0.3404
2022-04-19 11:00:00+00:00,1732.0,0.3604
2022-04-19 12:00:00+00:00,1952.0,0.4061
2022-04-19 13:00:00+00:00,2283.0,0.4749
2022-04-19 14:00:00+00:00,2538.0,0.5281
2022-04-19 15:00:00+00:00,2918.0,0.6071
2022-04-19 16:00:00+00:00,3116.0,0.6483
2022-04-19 17:00:00+00:00,2722.0,0.5664
2022-04-19 18:00:00+00:00,2033.0,0.423
2022-04-19 19:00:00+00:00,1795.0,0.3733
2022-04-19 20:00:00+00:00,1709.0,0.3555
2022-04-19 21:00:00+00:00,1442.0,0.3
2022-04-19 22:00:00+00:00,1156.0,0.2405
